Unnamed: 0,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,268500,2,-3000,-1.1,260000,270000,260000,25875880,6856898737478,1569725806248000,5846278608,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,1686000,1,32000,1.93,1591000,1689000,1591000,4278087,7029929370772,1201616187390000,712702365,STK
2,005935,KR7005931001,삼성전자우,KOSPI,,182700,2,-2700,-1.46,176000,183700,176000,5413774,970628634438,146593218788100,802371203,STK
3,402340,KR7402340004,SK스퀘어,KOSPI,,1098000,2,-1000,-0.09,1048000,1106000,1047000,720073,779449679500,144890307828000,131958386,STK
4,005380,KR7005380001,현대차,KOSPI,,613000,1,41000,7.17,590000,647000,581000,5020568,3104780887000,125516510558000,204757766,STK
5,373220,KR7373220003,LG에너지솔루션,KOSPI,,476500,2,-6500,-1.35,479500,489500,471500,353449,169266947500,111501000000000,234000000,STK
6,034020,KR7034020008,두산에너빌리티,KOSPI,,129600,2,-6800,-4.99,134500,134800,128000,4535272,588714859800,83016724521600,640561146,STK
7,329180,KR7329180004,HD현대중공업,KOSPI,,658000,2,-35000,-5.05,687000,696000,645000,620979,407458254500,69064486050000,104961225,STK
8,028260,KR7028260008,삼성물산,KOSPI,,422500,1,17500,4.32,405000,432000,395000,959566,394438440008,68516394472500,162168981,STK
9,009150,KR7009150004,삼성전기,KOSPI,,914000,2,-3000,-0.33,906000,920000,893000,523357,473715166500,68270038144000,74693696,STK
10,207940,KR7207940008,삼성바이오로직스,KOSPI,,1472000,1,4000,0.27,1470000,1485000,1455000,62693,92139390000,68140279872000,46290951,STK
11,012450,KR7012450003,한화에어로스페이스,KOSPI,,1307000,2,-10000,-0.76,1335000,1338000,1275000,249051,322792589500,67393365107000,51563401,STK
12,000270,KR7000270009,기아,KOSPI,,164500,1,6900,4.38,159800,170300,156400,3759583,618453410600,64222938171000,390412998,STK
13,105560,KR7105560007,KB금융,KOSPI,,161700,1,500,0.31,163200,164200,160300,1223978,198580613150,60289918573500,372850455,STK
14,032830,KR7032830002,삼성생명,KOSPI,,295000,2,-5000,-1.67,302000,303000,286000,389032,114156851000,59000000000000,200000000,STK
15,006400,KR7006400006,삼성SDI,KOSPI,,678000,2,-16000,-2.31,683000,694000,671000,460537,312778629000,54636989340000,80585530,STK
16,267260,KR7267260008,HD현대일렉트릭,KOSPI,,1403000,2,-17000,-1.2,1403000,1409000,1367000,186901,260413366000,50574130405000,36047135,STK
17,010120,KR7010120004,LS ELECTRIC,KOSPI,,313000,2,-5500,-1.73,309500,319500,302500,1313193,410353482000,46950000000000,150000000,STK
18,055550,KR7055550008,신한지주,KOSPI,,98000,2,-900,-0.91,99400,99700,97800,1318573,129920917850,46516127378000,474654361,STK
19,012330,KR7012330007,현대모비스,KOSPI,,509000,1,67500,15.29,458500,547000,447000,1579602,807915110250,46182884747000,90732583,STK
20,006800,KR7006800007,미래에셋증권,KOSPI,,79600,1,600,0.76,76700,82700,76500,5179982,414552387650,44541523648000,559566880,STK
21,068270,KR7068270008,셀트리온,KOSPI,,198400,2,-4100,-2.02,204000,204000,197100,620707,123664092500,44032550982400,221938261,STK
22,005490,KR7005490008,POSCO홀딩스,KOSPI,,525000,2,-10000,-1.87,528000,529000,512000,462890,240903290000,41601801675000,79241527,STK
23,298040,KR7298040007,효성중공업,KOSPI,,4398000,2,-203000,-4.41,4518000,4520000,4321000,59729,263528328000,41009362104000,9324548,STK
24,034730,KR7034730002,SK,KOSPI,,550000,1,7000,1.29,530000,555000,517000,181935,97742381500,39876486650000,72502703,STK
25,042660,KR7042660001,한화오션,KOSPI,,126100,2,-3800,-2.93,129600,130500,125300,1278409,161896313800,38638728983400,306413394,STK
26,042700,KR7042700005,한미반도체,KOSPI,,390000,2,-3000,-0.76,385000,392000,379000,699479,270010760750,37171758000000,95312200,STK
27,086790,KR7086790003,하나금융지주,KOSPI,,126500,2,-2300,-1.79,128500,129300,126200,673306,85617206250,34707520122000,274367748,STK
28,035420,KR7035420009,NAVER,KOSPI,,215000,1,7500,3.61,210000,219000,209000,1542717,331389155500,33727861840000,156873776,STK
29,010130,KR7010130003,고려아연,KOSPI,,1559000,2,-1000,-0.06,1585000,1586000,1540000,33313,51661800500,32540958671000,20872969,STK
30,009540,KR7009540006,HD한국조선해양,KOSPI,,452000,2,-15500,-3.32,470000,473000,444000,283943,129740228750,31989448432000,70773116,STK
31,051910,KR7051910008,LG화학,KOSPI,,429500,1,4500,1.06,425000,437500,414500,316902,135732230250,30319411318500,70592343,STK
32,015760,KR7015760002,한국전력,KOSPI,,44050,2,-650,-1.45,44350,44450,43550,1689261,74147143300,28278517591850,641964077,STK
33,010140,KR7010140002,삼성중공업,KOSPI,,31950,2,-1750,-5.19,33600,33650,31700,7842517,252656580725,28116000000000,880000000,STK
34,000150,KR7000150003,두산,KOSPI,,1735000,2,-82000,-4.51,1775000,1798000,1712000,76915,133758520500,28096303725000,16193835,STK
35,003670,KR7003670007,포스코퓨처엠,KOSPI,,290000,2,-6000,-2.03,292500,299500,282000,320035,91842264500,25794403800000,88946220,STK
36,066570,KR7066570003,LG전자,KOSPI,,154100,1,5400,3.63,148000,158400,145800,2029897,311671592900,25100792236700,162886387,STK
37,064350,KR7064350002,현대로템,KOSPI,,223000,2,-12000,-5.11,241000,242500,218000,1107625,247566493750,24338731339000,109142293,STK
38,316140,KR7316140003,우리금융지주,KOSPI,,32850,2,-350,-1.05,33350,33450,32500,2513252,82774436125,24114407112000,734076320,STK
39,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,중견기업부,237500,1,2000,0.85,235500,243500,228000,629179,147944313500,23234728075000,97830434,KSQ
40,267250,KR7267250009,HD현대,KOSPI,,289000,2,-1000,-0.34,295500,295500,280500,205588,58977030000,22829001565000,78993085,STK
41,096770,KR7096770003,SK이노베이션,KOSPI,,134700,2,-3100,-2.25,138200,138200,134000,673340,90998703950,22771410543600,169052788,STK
42,000810,KR7000810002,삼성화재,KOSPI,,499000,1,9000,1.84,490000,505000,472000,189706,93662876250,22279089027000,44647473,STK
43,272210,KR7272210006,한화시스템,KOSPI,,115900,2,-800,-0.69,118200,118900,113700,898611,103811773300,21895757185100,188919389,STK
44,086520,KR7086520004,에코프로,KOSDAQ GLOBAL,중견기업부,155000,2,-4700,-2.94,158200,162000,151700,1376571,213863481150,21045303560000,135776152,KSQ
